date,open,high,low,close,volume,vix_close
2020-01-02,238.75,239.91,236.72,239.91,5941969,12.47
2020-01-03,235.1,237.83,234.1,236.07,5144308,14.02
2020-01-06,232.32,237.27,231.27,237.06,6572812,13.85
2020-01-07,238.2,241.77,236.39,239.93,7980144,13.79
2020-01-08,239.76,242.04,238.15,240.38,6931017,13.45
2020-01-09,243.85,245.93,240.86,243.02,6386053,12.54
2020-01-10,247.33,248.55,243.75,244.32,7911560,12.56
2020-01-13,247.66,252.99,246.75,251.98,7739168,12.32
2020-01-14,250.26,251.28,246.75,247.28,8989483,12.39
2020-01-15,247.79,248.69,244.53,245.57,6577636,12.42
2020-01-16,247.72,249.17,246.78,248.93,7104791,12.32
2020-01-17,249.7,250,247.37,249.28,6344764,12.1
2020-01-21,247.81,249.29,246.57,247.94,5321260,12.85
2020-01-22,249.76,253.59,249,250.11,5980967,12.91
2020-01-23,251.72,253.2,248.15,252.86,6112861,12.98
2020-01-24,257.5,259.5,248.3,250.48,9337839,14.56
2020-01-27,238.24,242.25,232.23,240.2,11763354,18.23
2020-01-28,242.85,249.27,240.71,247.97,7774401,16.28
2020-01-29,247.39,248.84,243.94,245.54,6486279,16.39
2020-01-30,241.61,246.35,239.4,245.81,7262590,15.49
2020-01-31,243.97,244.45,234.75,236.43,9260493,18.84
2020-02-03,235.7,241.11,235.45,240.33,6398205,17.97
2020-02-04,246.03,247.9,244.02,247.13,6788589,16.05
2020-02-05,251.99,252.4,247.41,250.76,5205502,15.15
2020-02-06,252.14,254.25,248.88,254.25,5457051,14.96
2020-02-07,252.64,253.53,250.57,251.59,4743803,15.47
2020-02-10,252.5,263,252.3,262.97,13240194,15.04
2020-02-11,267.32,272.5,264.83,267.89,15963922,15.18
2020-02-12,270.01,272.8,268.45,272.54,9366118,13.74
2020-02-13,270.21,273.48,269.11,270.78,13200384,14.15
2020-02-14,287.26,294.97,286,289.79,26048093,13.68
2020-02-18,285.64,297.31,284.86,296.57,15547025,14.83
2020-02-19,301.49,315.41,301.49,314.7,17358281,14.38
2020-02-20,312.77,316.32,296.35,308.7,20251259,15.56
2020-02-21,304.19,305.2,290.66,294.07,19232331,17.08
2020-02-24,270.19,281.87,268,273.28,21422873,25.03
2020-02-25,276.3,278.79,257.96,262.05,26387442,27.85
2020-02-26,262.06,275.45,262,267.65,18741536,27.56
2020-02-27,254.9,267,248.89,252.6,22660373,39.16
2020-02-28,242.46,272.46,241.79,270.07,28366882,40.11
2020-03-02,276.9,277.59,261,276.43,22268639,33.42
2020-03-03,278.67,281.07,262.46,265.89,16319828,36.82
2020-03-04,270.2,284.89,267.2,284.51,14935184,31.99
2020-03-05,276.5,283.2,271.5,273.29,13508187,39.62
2020-03-06,266.08,268.39,258,266.04,12885307,41.94
2020-03-09,239.9,259.4,238.18,245.44,15353960,54.46
2020-03-10,256.54,261.08,245.99,261.08,14516218,47.3
2020-03-11,255.46,256.6,242.57,246.47,12551693,53.9
2020-03-12,225.46,236.12,215.8,216.31,20413535,75.47
2020-03-13,230.5,241.02,219.61,240.84,15870943,57.83
2020-03-16,212.41,226.1,194,196.4,18174303,82.69
2020-03-17,200.91,220.86,191,217.27,20840799,75.91
2020-03-18,200.1,209.94,180.68,202.82,21727385,76.45
2020-03-19,201.96,216.73,193.39,212.97,19137847,72
2020-03-20,219,230.32,205.13,205.75,20115854,66.04
2020-03-23,205.71,216.48,198.52,212.69,16096866,61.59
2020-03-24,229,252.66,228.05,249.18,27541095,61.67
2020-03-25,253.8,261.82,243.66,245.62,19835767,63.95
2020-03-26,253.94,262.22,250,257.24,17439692,61
2020-03-27,250,263.12,248.68,252.73,15970744,65.54
2020-03-30,255.36,265.96,253.59,265.59,15056253,57.08
2020-03-31,267.2,275.4,257.75,263.6,23749014,53.54
2020-04-01,255.65,261.53,241.28,243.07,16422828,57.06
2020-04-02,244.24,256,242.31,255.47,16894113,50.91
2020-04-03,253.96,255.63,238.39,243.91,16580346,46.8
2020-04-06,255.24,269.88,252.93,268.4,18197062,45.24
2020-04-07,277.3,278.25,257.3,259.03,19613047,46.7
2020-04-08,263.41,267.95,260.6,266.95,13561113,43.35
2020-04-09,272,272.92,260.42,262.95,13156195,41.67
2020-04-13,260.55,270.2,257,269.85,9960182,41.17
2020-04-14,275,285.32,273.89,283.95,13273667,37.76
2020-04-15,277.2,284.17,275.38,280.84,9153721,40.84
2020-04-16,287.08,299,286.55,294.7,18640510,40.11
2020-04-17,298,298.86,286.94,292.32,13478049,38.15
2020-04-20,287.24,293.5,285.27,287.05,11234705,43.83
2020-04-21,282.31,284.77,267.11,269.51,18378996,45.41
2020-04-22,277.23,287.87,275.4,286.15,12118228,41.98
2020-04-23,287.84,293.14,283,284.01,10603988,41.38
2020-04-24,283.6,289.67,280.6,289.59,8816137,35.93
2020-04-27,294.99,303.5,294,297.08,11984699,33.29
2020-04-28,303,304.2,291.14,291.36,11072603,33.57
2020-04-29,296.77,300.58,293.75,298.46,9479047,31.23
2020-04-30,296.29,298.46,291.72,292.28,9397943,34.15
2020-05-01,284.35,288.9,280.84,282.78,8552445,37.19
2020-05-04,280.88,291.84,280.88,291.29,7938880,35.97
2020-05-05,295.47,300.27,291.29,293.74,9222391,33.61
2020-05-06,296.93,302,295.41,297.79,8086639,34.12
2020-05-07,303.38,307.41,301.32,304.87,9343263,31.44
2020-05-08,307.75,312.75,306.39,312.5,8497678,27.98
2020-05-11,312.3,324.5,311.15,322.62,11726504,27.57
2020-05-12,324.94,326.9,311.71,312.1,12326482,33.04
2020-05-13,316.7,323.14,303.79,311.2,15646252,35.28
2020-05-14,313.67,321.44,307.5,321.22,15057809,32.61
2020-05-15,315.59,340.02,314.96,339.63,24691543,31.89
2020-05-18,350.42,356.66,347.22,350.01,19410086,29.3
2020-05-19,351.61,363.5,350.51,352.22,17933049,30.53
2020-05-20,359.64,361.72,355.55,358.8,14688405,27.99
2020-05-21,362.06,362.1,349.5,351.01,17552200,29.53
2020-05-22,353.01,363.72,348.53,361.05,25969125,28.16
2020-05-26,366.27,367.27,346.88,348.71,19269476,28.01
2020-05-27,345,345.31,319.87,341.01,29397306,27.62
2020-05-28,336.49,350.42,335.17,339.48,18403204,28.59
2020-05-29,342.18,355.02,339.4,355.02,18647994,27.51
2020-06-01,353.33,353.63,347.58,352.25,9762775,28.23
2020-06-02,351.85,353.49,346.32,353.01,9783014,26.84
2020-06-03,352.89,354.65,348,350.78,9135972,25.66
2020-06-04,349.12,357.73,347.1,350.66,10606960,25.81
2020-06-05,351.78,359.88,348.32,356.8,12043651,24.52
2020-06-08,355.09,355.59,347.43,352.2,9693431,25.81
2020-06-09,352,364.39,350.05,361.84,11712221,27.57
2020-06-10,366.71,380,366.14,374.67,15804537,27.57
2020-06-11,366,370.45,351.44,351.85,14591256,40.79
2020-06-12,366.5,367.49,348.13,357.3,14272704,36.09
2020-06-15,352.61,367.29,349.75,366.95,10000054,34.4
2020-06-16,369,370.67,353.55,362.74,13392875,33.67
2020-06-17,364.55,371.96,362.81,369.44,10207641,33.47
2020-06-18,369.08,371.3,364.58,368.72,6360238,32.94
2020-06-19,369.7,377.8,369.09,370.45,13104013,35.12
2020-06-22,372,381.25,370.93,381.07,9961662,31.77
2020-06-23,382.04,385.7,376.3,378,9377685,31.37
2020-06-24,379.05,382.26,365.78,369.42,11234272,33.84
2020-06-25,374.23,380.2,367.29,379.6,9401800,32.22
2020-06-26,380,380,365,366.2,14802144,34.73
2020-06-29,366.79,368.18,356,368,8556203,31.78
2020-06-30,372.56,381.05,370.66,379.91,9197300,30.43
2020-07-01,380.83,383.03,376.52,381.2,8237180,28.62
2020-07-02,385.56,389.5,383.13,384.49,9101892,27.68
2020-07-06,389.67,396.35,388.5,393.57,7903881,27.94
2020-07-07,397.85,402.8,394.03,394.87,8945039,29.43
2020-07-08,399.75,409,398.62,408.64,9437346,28.08
2020-07-09,415.21,422.8,409.34,420.36,12367718,29.26
2020-07-10,423.55,426.21,415.15,419.17,12441869,27.29
2020-07-13,423.8,431.69,401,402.09,11426932,32.19
